uid,sn,test_id,split,P,T,R,ignition_time,true_thrust,is_anomalous,is_valid,maneuver_type,maneuver_type_id,thrust_profile,estimated_delta_v,delta_v_min,delta_v_max,duration_min,duration_max
54,1,54,train,1.0347615075160206,205.99,5.319366786892751,1.25,0.6187396248562279,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
55,1,55,train,1.0697439394572417,745.9300000000001,18.99936879550766,1.26,0.6212583148311334,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
56,1,56,train,0.0,2255.16,5.505138382823241,5.78,0.2554060815880371,False,0,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
57,1,57,train,0.9456293255661604,1440.4,3.107301602011856,11.03,0.9424709563976912,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
58,1,58,train,0.8027567126537007,90.09,4.069959547928069,147.46,1.0082052606767071,False,1,COLLISION_AVOIDANCE,5,impulsive,0.1816584238687291,0.1,5.0,5.0,120.0
59,1,59,train,1.0874186214765325,1087.96,15.70632986586912,1.27,0.6023506362621148,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
60,1,60,train,0.8277592875570714,198.0,1.1904391348901289,2.62,0.8088197182470158,False,1,PHASE_ADJUSTMENT,2,continuous,0.32029260842581825,0.1,10.0,10.0,300.0
61,1,61,train,0.6347401566287899,0.04,,181.61,0.7908745185351498,False,0,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
62,1,62,train,0.7276021473112766,42.41,1.5556760108771226,1.54,0.7068625065843551,False,1,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
63,1,63,train,0.7429494075937303,205.9,5.354604854608109,1.27,0.4941555976805114,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
64,1,64,train,0.782852711506538,745.98,19.158576586063017,1.26,0.4971553691569143,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
65,1,65,train,0.0,2282.06,3.437170811855712,1.19,0.2009473504131375,False,0,STATION_KEEPING,4,pulsed,0.917147820967609,0.01,1.0,1.0,60.0
66,1,66,train,1.0619183672082515,1483.34,9.981037625063072,3.5700000000000003,0.7351943659578102,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
67,1,67,train,0.6937254330902125,88.16,4.402055818901803,78.63,0.808232473614086,False,1,ATTITUDE_CONTROL,9,pulsed,0.1,0.001,0.1,0.1,10.0
68,1,68,train,0.913453150922737,1066.97,2.326666146875536,1.27,0.4837188307515109,True,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
69,1,69,train,0.8265021247882988,202.83,2.6693630263625963,2.63,0.6057980424997285,True,1,PHASE_ADJUSTMENT,2,continuous,0.2457480339204399,0.1,10.0,10.0,300.0
70,1,70,train,0.5062454802894502,0.04,,4.97,0.6427615927743618,False,0,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
71,1,71,train,0.5341874512583166,38.04,1.4333988819923251,1.58,0.565000112445769,False,1,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
72,1,72,train,0.6432966789214722,205.97,7.619825426080522,1.25,0.3886700560233997,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
73,1,73,train,0.7870649692587299,745.82,21.049657503115892,1.26,0.387389337697993,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
74,1,74,train,0.0,2281.56,2.8048190261534245,1.19,0.1596563843046827,False,0,STATION_KEEPING,4,pulsed,0.7285312403483838,0.01,1.0,1.0,60.0
75,1,75,train,0.5669813240638337,1493.98,2.1589825721329063,1.51,0.5648410131591556,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
76,1,76,train,0.460534823194979,144.75,4.642853816613607,56.69,0.6033729832919934,False,1,ATTITUDE_CONTROL,9,pulsed,0.1,0.001,0.1,0.1,10.0
77,1,77,train,0.8568480749212255,1057.94,4.382623114708655,1.27,0.3849847917984325,True,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
78,1,78,train,0.640082578478281,237.11,2.3281835063606997,1.4,0.4614363409319337,False,1,PHASE_ADJUSTMENT,2,continuous,0.2188223415967416,0.1,10.0,10.0,300.0
79,1,79,train,1.6801366356105496,300.0,5.261880142657168,1.23,0.928971532149316,False,1,STATION_KEEPING,4,pulsed,0.5573829192895896,0.01,1.0,1.0,60.0
80,1,80,train,1.385549145913599,299.97,6.958444768981994,1.23,0.8064677213914648,False,1,STATION_KEEPING,4,pulsed,0.4838322447715955,0.01,1.0,1.0,60.0
81,1,81,train,1.2895550849578978,299.97,39.57614294065824,1.24,0.6848390309991584,False,1,STATION_KEEPING,4,pulsed,0.41086232825763513,0.01,1.0,1.0,60.0
82,1,82,train,0.908522748244916,299.97,11.488982113749044,1.25,0.5774067524563677,False,1,STATION_KEEPING,4,pulsed,0.3464094070686733,0.01,1.0,1.0,60.0
83,1,83,train,0.8333711952468735,299.95,42.478920774822505,1.28,0.4726574057249463,False,1,STATION_KEEPING,4,pulsed,0.28354717769439525,0.01,1.0,1.0,60.0
84,1,84,train,0.6356235962061517,300.01,11.72388333754153,1.22,0.3738501472601461,False,1,STATION_KEEPING,4,pulsed,0.22431756535903286,0.01,1.0,1.0,60.0
85,1,85,train,1.2650542239721003,476.83,4.600560877083149,91.3,0.8893152569342555,False,1,STATION_KEEPING,4,pulsed,0.848104387927922,0.01,1.0,1.0,60.0
86,1,86,train,1.1527402550012265,465.84,3.7065966441420257,102.31,0.7758723466153086,False,1,STATION_KEEPING,4,pulsed,0.7228647478945506,0.01,1.0,1.0,60.0
87,1,87,train,0.955339325697698,476.8,3.663261428718111,91.31,0.6608141092475919,False,1,STATION_KEEPING,4,pulsed,0.6301523345785036,0.01,1.0,1.0,60.0
88,1,88,train,0.8507519623621341,473.48,3.713011677885679,94.62,0.5520945970386766,False,1,STATION_KEEPING,4,pulsed,0.5228114996117452,0.01,1.0,1.0,60.0
89,1,89,train,0.6649578025006139,476.84,3.696757384476971,91.3,0.4485975924790849,False,1,STATION_KEEPING,4,pulsed,0.4278185519954536,0.01,1.0,1.0,60.0
90,1,90,train,0.507478494319618,476.87,4.022001213185788,91.29,0.3538902134398654,False,1,STATION_KEEPING,4,pulsed,0.3375192521661372,0.01,1.0,1.0,60.0
91,1,91,train,0.6577366925022509,299.93,6.724193834878078,1.28,0.315099219543864,False,1,STATION_KEEPING,4,pulsed,0.18901541783558226,0.01,1.0,1.0,60.0
92,1,92,train,0.4965252771785837,299.98,3.859189972604247,1.24,0.2615710261571251,False,1,STATION_KEEPING,4,pulsed,0.15693215285322876,0.01,1.0,1.0,60.0
93,1,93,train,0.6063310658163437,475.75,3.4688747344903783,92.41,0.3064110519587313,False,1,STATION_KEEPING,4,pulsed,0.2915501159387328,0.01,1.0,1.0,60.0
94,1,94,train,0.3666149032915703,474.64,3.7071355571041806,93.51,0.2507251451536033,False,1,STATION_KEEPING,4,pulsed,0.2380083657914125,0.01,1.0,1.0,60.0
95,1,95,train,0.4346648685143472,0.04,,4.87,0.5275740435399565,False,0,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
96,1,96,train,0.3716875101871237,38.1,1.4351747031613058,5.51,0.42449760485691,False,1,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
97,1,97,train,0.4926023220369616,205.94,6.709839728447067,1.27,0.3149637391088392,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
98,1,98,train,0.5738852200925365,745.97,22.187232796033346,1.27,0.3131263222865403,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
99,1,99,train,0.0,2278.86,4.790205499406431,1.21,0.1297693689407104,False,0,STATION_KEEPING,4,pulsed,0.5914524482084547,0.01,1.0,1.0,60.0
100,1,100,train,0.4682418254787626,1462.45,5.667100055235521,2.94,0.4552430862625198,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
101,1,101,train,0.0,0.01,,170.69,0.4785548426798161,False,0,ATTITUDE_CONTROL,9,pulsed,0.001,0.001,0.1,0.1,10.0
102,1,102,train,0.6249177719652256,1101.88,6.8337481355998735,1.25,0.3043628466802587,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
103,1,103,train,0.6016124534564412,202.13,6.702260605645421,1.42,0.4137331558474139,False,1,PHASE_ADJUSTMENT,2,continuous,0.16725576558287553,0.1,10.0,10.0,300.0
104,1,104,train,0.3085586976161796,0.0,,172.75,0.3971527388963939,False,0,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
105,1,105,train,0.2851244480256337,9.06,1.3319753406638293,1.57,0.3491896652912141,False,1,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
106,1,106,train,0.4057948564376975,205.54,5.220010945260492,1.25,0.2557607186499636,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
107,1,107,train,0.4914739211554907,745.91,20.034860453943864,1.27,0.2568632361687176,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
108,1,108,train,0.0,2245.77,3.44072069841734,1.2,0.1093491642189123,False,0,STATION_KEEPING,4,pulsed,0.49114614505581333,0.01,1.0,1.0,60.0
109,1,109,train,0.3989385398497564,1386.38,3.9452271401575447,79.97,0.3868338738030209,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
110,1,110,train,0.3020748424107307,107.58,4.099265952552948,118.9,0.3947085473918402,False,1,COLLISION_AVOIDANCE,5,impulsive,0.1,0.1,5.0,5.0,120.0
111,1,111,train,0.3915220536688791,1017.92,12.85861999409225,1.27,0.2487948692920562,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
112,1,112,train,0.4059796271478367,272.34000000000003,7.371545093211359,1.36,0.2914350462255387,False,1,PHASE_ADJUSTMENT,2,continuous,0.15873884097812643,0.1,10.0,10.0,300.0
113,2,1,train,2.1172340546743023,300.0,4.056960446418813,1.19,1.1154825117745222,False,1,STATION_KEEPING,4,pulsed,0.6692895070647134,0.01,1.0,1.0,60.0
114,2,2,train,2.0568396743965214,299.98,3.6682109755549166,1.22,0.9633511634019432,False,1,STATION_KEEPING,4,pulsed,0.5779721639946298,0.01,1.0,1.0,60.0
115,2,3,train,1.2653782769815334,299.95,6.249814611735954,1.25,0.832102348995875,False,1,STATION_KEEPING,4,pulsed,0.4991781991626254,0.01,1.0,1.0,60.0
116,2,4,train,1.3417470165745409,299.97,4.59643833468375,1.22,0.6857628255576612,False,1,STATION_KEEPING,4,pulsed,0.4114165495650633,0.01,1.0,1.0,60.0
117,2,5,train,1.176969831731554,300.02,3.4210324742767457,1.19,0.5574657208920178,False,1,STATION_KEEPING,4,pulsed,0.3345017311640464,0.01,1.0,1.0,60.0
118,2,6,train,0.7738823189476025,300.02,3.140120862827056,1.19,0.4428963792810708,False,1,STATION_KEEPING,4,pulsed,0.2657555434238137,0.01,1.0,1.0,60.0
119,2,7,train,1.6782067249280572,476.92,3.94205701842808,91.23,1.0609756263304282,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
120,2,8,train,1.8200427482851795,470.24,3.641186017942304,97.89,0.9097159330133092,False,1,STATION_KEEPING,4,pulsed,0.8555696406803571,0.01,1.0,1.0,60.0
121,2,9,train,1.1278698085283807,475.73,3.6696431721998177,92.36,0.7742830094791399,True,1,STATION_KEEPING,4,pulsed,0.7366993121990224,0.01,1.0,1.0,60.0
122,2,10,train,1.0002765239843798,476.86,4.205729685444436,91.27,0.6717266724627443,False,1,STATION_KEEPING,4,pulsed,0.6406391620611686,0.01,1.0,1.0,60.0
123,2,11,train,0.8038155245085997,474.67,4.04290351935868,93.47,0.52894998527546,False,1,STATION_KEEPING,4,pulsed,0.5021533790214052,0.01,1.0,1.0,60.0
124,2,12,train,0.7740046940953837,476.86,4.049592978190338,91.28,0.4254460738887747,False,1,STATION_KEEPING,4,pulsed,0.4057564295892022,0.01,1.0,1.0,60.0
125,2,13,train,1.4858417199161311,0.14,21.23337200172673,168.5,1.7712779213564782,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
126,2,14,train,1.268490892596129,41.32,1.5229415550055465,1.56,1.4528776412086812,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
127,2,15,train,1.6403805313444877,205.95,6.9050992053608224,1.24,1.0929608460797815,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
128,2,16,train,2.065602717178651,745.5500000000001,2.596702885840669,1.23,1.0728546545652768,True,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
129,2,17,train,0.0,2218.2200000000003,7.557264675438064,1.22,0.4822940469157779,False,0,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
130,2,18,train,1.9967350492314675,1513.51,1.6697433884874122,6.04,1.4961638533787742,True,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
131,2,19,train,1.2949288193492026,61.96,3.705572283956652,191.7,1.6498506813225795,False,1,COLLISION_AVOIDANCE,5,impulsive,0.20444949642949406,0.1,5.0,5.0,120.0
132,2,20,train,1.9722744478709524,1079.98,5.206037908601441,1.22,1.0436953204822563,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
133,2,21,train,1.4859720588057137,302.32,11.525129521806424,1.38,1.1853528793645225,False,1,PHASE_ADJUSTMENT,2,continuous,0.7167117649789649,0.1,10.0,10.0,300.0
134,2,22,train,0.0,0.04,,9.93,1.733130498576004,False,0,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
135,2,23,train,1.1120859843278308,6.24,1.2980769449480178,1.49,1.239823201036956,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
136,2,24,train,1.8541718592427512,205.98,5.833752067912437,1.23,0.9021706070193946,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
137,2,25,train,1.503632432182136,745.91,23.398349616354743,1.25,0.8991804565132682,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
138,2,26,train,0.0,2343.54,5.481334247389999,1.17,0.3960319276915164,False,0,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
139,2,27,train,1.431501328251393,1482.21,3.9842394359982496,1.85,1.261755879305786,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
140,2,28,train,1.1006072931254702,0.02,,68.53,1.3904919199540748,False,0,ATTITUDE_CONTROL,9,pulsed,0.001,0.001,0.1,0.1,10.0
141,2,29,train,1.6443997411058058,995.98,14.197820889976889,1.22,0.8772801701332303,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
142,2,30,train,1.3340899113326072,310.49,5.201439527025993,1.36,1.0214564961248556,False,1,PHASE_ADJUSTMENT,2,continuous,0.6343040549636129,0.1,10.0,10.0,300.0
143,2,31,train,0.9572613219099148,176.17000000000002,13.753845504361134,8.51,1.160461377153654,False,1,PHASE_ADJUSTMENT,2,continuous,0.4088769616263185,0.1,10.0,10.0,300.0
144,2,32,train,0.8781808898289964,10.97,1.2668229175186212,1.55,0.9914083126624162,True,1,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
145,2,33,train,1.3084343731084176,205.97,5.512130849291263,1.23,0.7393028448691732,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
146,2,34,train,1.392120123039421,745.95,15.494512243000518,1.24,0.7408923801825948,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
147,2,35,train,0.0,2295.07,4.550225828240146,1.18,0.3232513241122167,False,0,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
148,2,36,train,1.1589463053109548,1481.54,5.669531329898407,1.45,1.0433327768195502,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
149,2,37,train,0.923828226240638,0.02,,115.61,1.1526623277507222,False,0,ATTITUDE_CONTROL,9,pulsed,0.001,0.001,0.1,0.1,10.0
150,2,38,train,1.248079090723041,952.97,3.6914230514494593,1.22,0.71930149611726,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
151,2,39,train,1.1379174704321138,322.35,3.937941342189858,1.28,0.8056724097345553,False,1,PHASE_ADJUSTMENT,2,continuous,0.5194170025558679,0.1,10.0,10.0,300.0
152,2,40,train,1.6504208176259465,300.03000000000003,6.021867304658542,1.19,0.9670602003035336,False,1,STATION_KEEPING,4,pulsed,0.5802941437941385,0.01,1.0,1.0,60.0
153,2,41,train,1.5498784033657194,299.99,2.994161685033544,1.22,0.8353298859331056,False,1,STATION_KEEPING,4,pulsed,0.5011812249621447,0.01,1.0,1.0,60.0
154,2,42,train,1.4751126478111865,299.98,17.25829648822846,1.23,0.719348995356742,False,1,STATION_KEEPING,4,pulsed,0.43158062325423097,0.01,1.0,1.0,60.0
155,2,43,train,1.1524055773505322,299.98,3.758868070772796,1.22,0.5967099800291293,False,1,STATION_KEEPING,4,pulsed,0.35800211961827644,0.01,1.0,1.0,60.0
156,2,44,train,0.8239002892799869,300.02,3.4896635349676783,1.18,0.4864980563059309,False,1,STATION_KEEPING,4,pulsed,0.2919182937058108,0.01,1.0,1.0,60.0
157,2,45,train,0.6845836006396668,299.98,1.2475208312314463,1.23,0.3868733841469881,False,1,STATION_KEEPING,4,pulsed,0.23210855555282697,0.01,1.0,1.0,60.0
158,2,46,train,1.4694659309981195,476.9,3.5419078003459066,91.24,0.9314053304892154,False,1,STATION_KEEPING,4,pulsed,0.8883744042206135,0.01,1.0,1.0,60.0
159,2,47,train,1.2659983242683193,476.84,3.828980869725661,91.3,0.8114768066894936,False,1,STATION_KEEPING,4,pulsed,0.7738892010036362,0.01,1.0,1.0,60.0
